,row,total vitamin d,total calorie,total triglycerides,potassium k,linoleic acids,thiamine,vactochrome,sugar,provitamin a,saturated triglyceride,total saccharides,total folate,total nicotinic acid
27,"Biscuit, Malt",1.2333154725201763,1803.2069254075736,13.895842898291002,121.38593201029289,1.70494996625433,0.26926457440754814,0.02095488836645166,21.198081286661278,12.12396263451081,7.8667627894346825,65.59742751300809,4.671202743170056,2.243187667040072
1057,Oil,3.7057222507216028,3711.742057094848,96.69812051307402,0.737926661602097,29.287843461811672,0.04455301888023421,0.5904223539441267,10.252593525793685,200.62919455377633,3.810901200788022,14.020278112804421,29.933880932027343,1.2117176386788735
638,Wheat germ,0.7089938004305009,1357.1575062313764,3.2682687538222455,992.0917307646583,11.077927230143569,1.7992377021979968,0.10296496463540276,3.7315378166035984,34.83480769758238,1.6601466474156215,26.79630198681066,256.3583341250092,4.495723857859108
2150,Mushroom,0.45464182457502916,99.744361920053,0.22138195184779702,418.56340895562266,,0.21755127821310405,0.8270095192164617,8.134890717910068,48.702990946756444,3.605554779913662,6.0623936900235265,23.974627669080697,0.19576586402041718
1813," assorted flavours, salted, fried in assorted oils",0.35462175904663873,2074.6924905336537,20.63132026901793,261.4888030457135,5.5532163637925915,0.42273155452832833,0.021559199492171166,4.959598679507753,50.76081951152441,11.898879936165304,59.67465272429478,45.94797612076416,1.2764195469925126
1278,"Plum, Royal Star, flesh",0.3377558912132882,314.8065991835688,14.179938445846366,195.61639311703033,1.3014483481023869,0.3754373498182693,0.1002848218174563,10.993699936758656,264.8446641676934,1.6260128847534085,11.161723595095065,11.626469293730532,1.1386300207978157
1428, separable lean & fat,1.8918037957353937,1657.1312746310912,44.13531411872318,167.3191571848531,1.3066802577340295,0.745715768806246,0.020760639153187307,12.302043068714939,31.36723407503042,11.315883461599746,10.992251294795151,2.6637575761168204,8.805338968038514
2244,"Sprout, alfalfa, raw",2.780219947437493,6.142845735060902,0.37184209792330547,20.132135814696426,,1.227763772567588,0.12842142879159463,0.4550638360313693,20.634142753587525,2.510415173891265,7.69668799993869,17.150899483426496,2.3075123181046324
2038,"Cabbage, cooked",2.1911517416813533,159.15056705587693,1.1818451970128885,89.6538452912275,,0.2858492752166376,0.6850785947679476,4.9296473883615155,1766.68391542618,2.8866773853179697,2.2493434600102917,1.4954336650180124,3.6459481956322004
631,"Topper, lasagne",3.2145312373983135,971.2861578146939,19.609690134484033,233.12834965401157,2.1169014042632783,0.429735601311124,0.18257953959995504,5.777105643525897,20.668665935067054,6.9511661496523365,15.60061800467037,0.44331080011123447,2.0837043651134683
664,Cheese,0.8015495961094987,1821.5581100660866,20.789146489928346,37.535893059744105,2.0619288467630215,0.6611711291458826,0.24532690208275965,0.22527366568508164,310.17537106836954,20.13539812751555,8.459349350954902,34.811325415350176,5.051640965519276
455,"Tea beverage, green",3.1045247645162535,17.743268569921934,6.108592327620505,12.914667968789118,1.8914258776381516,0.5480412632492601,0.21007644368235998,3.5505317379185155,47.9009760052919,4.985477597384225,2.9633988942807266,50.77365039490143,2.7543149508374687
1970,"Sugar, white",0.7473769701410096,1617.6703874643968,1.2119755281569857,57.32761829485047,2.359043502972117,0.5036801323312904,0.3224526459165907,97.19962318977191,77.53783145223395,4.126377890098915,97.88975947932224,21.39422258373956,3.467554519152369
748," vanilla, premium",0.13224717278269044,1093.702494067223,13.344626234974346,135.3000404927351,,0.9509483039589917,0.5453585483185542,26.668282834915207,80.99555529256924,7.153902588202436,19.241150877946623,50.83761478052713,2.1312431285034776
2071,Carrot,2.1151038143870386,445.2848129227958,1.022703958696993,298.72040474425046,4.246608130082763,0.8544873686482131,0.6248107336137987,17.49718992393676,5969.54468289549,0.412830214640484,19.304230849241293,0.17223042193003124,7.882756930781375
