,original,generated
0,27,27
1,1057,1057
2,638,638
3,2150,2150
4,1813,1813
5,1278,1278
6,1428,1428
7,2244,2244
8,2038,2038
9,631,631
10,664,664
11,455,455
12,1970,1970
13,748,748
14,2071,2071
15,528,528
16,497,497
17,500,500
18,766,766
19,1967,1967
20,874,874
21,894,894
22,1584,1584
23,417,417
24,1352,1352
25,821,821
26,526,526
27,1307,1307
28,954,954
29,1446,1446
30,928,928
31,780,780
32,1938,1938
33,607,607
34,1346,1346
35,471,471
36,286,286
37,1338,1338
38,1574,1574
39,1739,1739
40,1283,1283
41,1413,1413
42,2108,2108
43,629,629
44,713,713
45,884,884
46,1871,1871
47,2265,2265
48,1656,1656
49,41,41
50,605,605
51,1861,1861
52,51,51
53,948,948
54,281,281
55,1955,1955
56,315,315
57,2200,2200
58,727,727
59,1867,1867
60,1115,1115
61,53,53
62,2152,2152
63,288,288
64,1235,1235
65,2283,2283
66,2032,2032
67,1431,1431
68,1047,1047
69,327,327
70,2127,2127
71,1495,1495
72,1242,1242
73,977,977
74,1493,1493
75,1520,1520
76,750,750
77,910,910
78,179,179
79,926,926
80,752,752
81,1015,1015
82,297,297
83,331,331
84,1409,1409
85,944,944
86,1456,1456
87,49,49
88,1621,1621
89,2210,2210
90,1197,1197
91,625,625
92,1795,1795
93,361,361
94,31,31
95,609,609
96,1973,1973
97,1127,1127
98,567,567
99,2251,2251
100,245,245
101,1562,1562
102,687,687
103,811,811
104,1071,1071
105,2154,2154
106,134,134
107,1645,1645
108,104,104
109,1727,1727
110,1701,1701
111,222,222
112,1514,1514
113,2002,2002
114,1246,1246
115,461,461
116,1863,1863
117,357,357
118,409,409
119,880,880
120,2184,2184
121,1905,1905
122,2277,2277
123,142,142
124,1711,1711
125,693,693
126,1885,1885
127,1777,1777
128,844,844
129,489,489
130,1616,1616
131,1625,1625
132,1035,1035
133,850,850
134,1769,1769
135,159,159
136,1227,1227
137,1686,1686
138,542,542
139,1503,1503
140,2298,2298
141,1914,1914
142,1415,1415
143,22,22
144,690,690
145,153,153
146,1451,1451
147,1757,1757
148,8,8
149,2143,2143
150,1432,1432
151,2224,2224
152,1225,1225
153,817,817
154,770,770
155,33,33
156,14,14
157,553,553
158,1209,1209
159,71,71
160,1422,1422
161,551,551
162,1406,1406
163,835,835
164,1606,1606
165,1594,1594
166,1096,1096
167,737,737
168,1545,1545
169,593,593
170,345,345
171,85,85
172,1088,1088
173,319,319
174,1021,1021
175,1011,1011
176,985,985
177,809,809
178,351,351
179,47,47
180,485,485
181,993,993
182,303,303
183,760,760
184,1213,1213
185,1737,1737
186,661,661
187,227,227
188,317,317
189,1258,1258
190,260,260
191,1962,1962
192,1363,1363
193,1123,1123
194,499,499
195,401,401
196,1902,1902
197,729,729
198,393,393
199,1171,1171
200,415,415
201,363,363
202,1536,1536
203,2118,2118
204,667,667
205,1252,1252
206,1163,1163
207,1337,1337
208,776,776
209,789,789
210,960,960
211,1641,1641
212,423,423
213,1186,1186
214,1201,1201
215,1350,1350
216,2253,2253
217,1847,1847
218,1025,1025
219,1484,1484
220,425,425
221,6,6
222,1381,1381
223,475,475
224,2164,2164
225,1375,1375
226,787,787
227,2124,2124
228,2141,2141
229,272,272
230,491,491
231,109,109
232,538,538
233,20,20
234,493,493
235,930,930
236,2057,2057
237,1328,1328
238,2208,2208
239,65,65
240,2131,2131
241,904,904
242,716,716
243,439,439
244,1143,1143
245,1233,1233
246,1348,1348
247,329,329
248,469,469
249,1797,1797
250,534,534
251,1540,1540
252,2046,2046
253,1449,1449
254,858,858
255,506,506
256,1700,1700
257,870,870
258,1309,1309
259,1918,1918
260,1302,1302
261,860,860
262,633,633
263,536,536
264,1643,1643
265,1538,1538
266,1396,1396
267,864,864
268,2013,2013
269,16,16
270,2018,2018
271,799,799
272,772,772
273,1666,1666
274,1296,1296
275,916,916
276,1930,1930
277,18,18
278,1325,1325
279,359,359
280,1926,1926
281,2044,2044
282,1694,1694
283,1398,1398
284,2036,2036
285,465,465
286,2083,2083
287,1491,1491
288,1843,1843
289,962,962
290,371,371
291,1977,1977
292,1426,1426
293,1462,1462
294,882,882
295,1203,1203
296,1941,1941
297,397,397
298,2291,2291
299,146,146
300,549,549
301,540,540
302,964,964
303,746,746
304,2214,2214
305,2297,2297
306,429,429
307,99,99
308,2075,2075
309,391,391
310,431,431
311,797,797
312,1526,1526
313,1635,1635
314,2180,2180
315,718,718
316,1153,1153
317,311,311
318,156,156
319,1934,1934
320,1708,1708
321,1175,1175
322,1468,1468
323,2129,2129
324,199,199
325,1167,1167
326,1804,1804
327,829,829
328,1849,1849
329,205,205
330,701,701
331,1098,1098
332,2206,2206
333,621,621
334,1370,1370
335,1821,1821
336,577,577
337,1423,1423
338,2245,2245
339,878,878
340,1322,1322
341,1405,1405
342,1528,1528
343,301,301
344,2030,2030
345,516,516
346,1229,1229
347,57,57
348,2102,2102
349,1741,1741
350,2220,2220
351,1073,1073
352,740,740
353,136,136
354,1855,1855
355,1548,1548
356,1975,1975
357,1223,1223
358,1499,1499
359,2269,2269
360,1129,1129
361,696,696
362,2192,2192
363,1472,1472
364,118,118
365,783,783
366,645,645
367,1055,1055
368,1501,1501
369,681,681
370,862,862
371,2241,2241
372,1385,1385
373,1572,1572
374,813,813
375,1908,1908
376,1482,1482
377,1188,1188
378,107,107
379,2188,2188
380,275,275
381,1764,1764
382,132,132
383,504,504
384,1985,1985
385,163,163
386,1165,1165
387,1339,1339
388,483,483
389,1524,1524
390,1419,1419
391,2006,2006
392,981,981
393,1206,1206
394,29,29
395,407,407
396,967,967
397,1633,1633
398,181,181
399,1733,1733
400,353,353
401,2094,2094
402,1729,1729
403,365,365
404,866,866
405,1417,1417
406,934,934
407,706,706
408,1318,1318
409,1815,1815
410,128,128
411,2226,2226
412,1033,1033
413,381,381
414,1386,1386
415,341,341
416,2069,2069
417,735,735
418,413,413
419,514,514
420,1932,1932
421,1534,1534
422,2146,2146
423,856,856
424,1661,1661
425,684,684
