,original,generated
0,603,603
1,2110,2110
2,648,648
3,1727,1727
4,2083,2083
5,942,942
6,1011,1011
7,2124,2124
8,1298,1298
9,1328,1328
10,645,645
11,1873,1873
12,922,922
13,2088,2088
14,1294,1294
15,1957,1957
16,399,399
17,1013,1013
18,1320,1320
19,785,785
20,1354,1354
21,65,65
22,993,993
23,1470,1470
24,2122,2122
25,457,457
26,2208,2208
27,329,329
28,251,251
29,1100,1100
30,153,153
31,699,699
32,257,257
33,932,932
34,395,395
35,1073,1073
36,2196,2196
37,1405,1405
38,1115,1115
39,508,508
40,1697,1697
41,85,85
42,471,471
43,807,807
44,1029,1029
45,1651,1651
46,425,425
47,579,579
48,61,61
49,317,317
50,1333,1333
51,1572,1572
52,500,500
53,1248,1248
54,2291,2291
55,1474,1474
56,1401,1401
57,33,33
58,1735,1735
59,1400,1400
60,676,676
61,946,946
62,1025,1025
63,924,924
64,567,567
65,1246,1246
66,2152,2152
67,839,839
68,2184,2184
69,1117,1117
70,429,429
71,1148,1148
72,1453,1453
73,2295,2295
74,1565,1565
75,1590,1590
76,1084,1084
77,633,633
78,514,514
79,1349,1349
80,2159,2159
81,1859,1859
82,1426,1426
83,1973,1973
84,928,928
85,1223,1223
86,183,183
87,1831,1831
88,536,536
89,254,254
90,1417,1417
91,1678,1678
92,1244,1244
93,1217,1217
94,2073,2073
95,1621,1621
96,1992,1992
97,1745,1745
98,1233,1233
99,1633,1633
100,1438,1438
101,2182,2182
102,325,325
103,1789,1789
104,912,912
105,124,124
106,1967,1967
107,742,742
108,451,451
109,1983,1983
110,1001,1001
111,894,894
112,904,904
113,1021,1021
114,1416,1416
115,1377,1377
116,813,813
117,1005,1005
118,177,177
119,538,538
120,1240,1240
121,1663,1663
122,681,681
123,173,173
124,1631,1631
125,589,589
126,303,303
127,12,12
128,661,661
129,349,349
130,1341,1341
131,2188,2188
132,1392,1392
133,1755,1755
134,159,159
135,1151,1151
136,140,140
137,2283,2283
138,617,617
139,1131,1131
140,1658,1658
141,1839,1839
142,2113,2113
143,1346,1346
144,299,299
145,1161,1161
146,1994,1994
147,890,890
148,1069,1069
149,1201,1201
150,447,447
151,990,990
152,783,783
153,1996,1996
154,1059,1059
155,1153,1153
156,20,20
157,1433,1433
158,1179,1179
159,2086,2086
160,136,136
161,852,852
162,764,764
163,1514,1514
164,1545,1545
165,2090,2090
166,995,995
167,1427,1427
168,723,723
169,1197,1197
170,199,199
171,1801,1801
172,1769,1769
173,638,638
174,1428,1428
175,811,811
176,2176,2176
177,952,952
178,621,621
179,377,377
180,754,754
181,2100,2100
182,381,381
183,1610,1610
184,655,655
185,1061,1061
186,2022,2022
187,2166,2166
188,1235,1235
189,983,983
190,2238,2238
191,1867,1867
192,908,908
193,1219,1219
194,1895,1895
195,1434,1434
196,701,701
197,1411,1411
198,2015,2015
199,230,230
200,1329,1329
201,79,79
202,2097,2097
203,866,866
204,16,16
205,1442,1442
206,940,940
207,51,51
208,1551,1551
209,858,858
210,475,475
211,2192,2192
212,315,315
213,2092,2092
214,2212,2212
215,1275,1275
216,493,493
217,725,725
218,1262,1262
219,2034,2034
220,1487,1487
221,369,369
222,1711,1711
223,2080,2080
224,1548,1548
225,1113,1113
226,1344,1344
227,1645,1645
228,1757,1757
229,631,631
230,850,850
231,1692,1692
232,1686,1686
233,2028,2028
234,679,679
235,684,684
236,1797,1797
237,1608,1608
238,233,233
239,1017,1017
240,1388,1388
241,1883,1883
242,2126,2126
243,1526,1526
244,2052,2052
245,357,357
246,640,640
247,2286,2286
248,1806,1806
249,1109,1109
250,138,138
251,423,423
252,1625,1625
253,1793,1793
254,1690,1690
255,2094,2094
256,1751,1751
257,1580,1580
258,67,67
259,546,546
260,1616,1616
261,1962,1962
262,1623,1623
263,914,914
264,433,433
265,882,882
266,1206,1206
267,1177,1177
268,1879,1879
269,1478,1478
270,1146,1146
271,918,918
272,1795,1795
273,1096,1096
274,1445,1445
275,266,266
276,2013,2013
277,1639,1639
278,1717,1717
279,99,99
280,1964,1964
281,1375,1375
282,383,383
283,2004,2004
284,469,469
285,465,465
286,385,385
287,455,455
288,1165,1165
289,2180,2180
290,544,544
291,1007,1007
292,1491,1491
293,57,57
294,1027,1027
295,1423,1423
296,2148,2148
297,1419,1419
298,1524,1524
299,1107,1107
300,1053,1053
301,1694,1694
302,1723,1723
303,595,595
304,73,73
305,1666,1666
306,1462,1462
307,375,375
308,1612,1612
309,772,772
310,1269,1269
311,499,499
312,1139,1139
313,653,653
314,431,431
315,29,29
316,670,670
317,1090,1090
318,971,971
319,2042,2042
320,2000,2000
321,2275,2275
322,2069,2069
323,1949,1949
324,297,297
325,1570,1570
326,962,962
327,1088,1088
328,981,981
329,1493,1493
330,272,272
331,936,936
332,411,411
333,884,884
334,363,363
335,835,835
336,706,706
337,577,577
338,1902,1902
339,583,583
340,1057,1057
341,1256,1256
342,2281,2281
343,292,292
344,2230,2230
345,1403,1403
346,1347,1347
347,1596,1596
348,1123,1123
349,512,512
350,1033,1033
351,41,41
352,1849,1849
353,1936,1936
354,744,744
355,319,319
356,758,758
357,1934,1934
358,880,880
359,1414,1414
360,2071,2071
361,803,803
362,1715,1715
363,930,930
364,956,956
365,1893,1893
366,809,809
367,1799,1799
368,2062,2062
369,549,549
370,2232,2232
371,1484,1484
372,1731,1731
373,1604,1604
374,2206,2206
375,1764,1764
376,1689,1689
377,1951,1951
378,1737,1737
379,768,768
380,2204,2204
381,96,96
382,1713,1713
383,31,31
384,1672,1672
385,321,321
386,1367,1367
387,557,557
388,593,593
389,1783,1783
390,313,313
391,405,405
392,305,305
393,2018,2018
394,2190,2190
395,1456,1456
396,2026,2026
397,403,403
398,1865,1865
399,960,960
400,1215,1215
401,1420,1420
402,122,122
403,331,331
404,1300,1300
405,1503,1503
406,605,605
407,1242,1242
408,25,25
409,1023,1023
410,625,625
411,339,339
412,483,483
413,1926,1926
414,337,337
415,526,526
416,1743,1743
417,2131,2131
418,1791,1791
419,1291,1291
420,1725,1725
421,116,116
422,1213,1213
423,1938,1938
424,2202,2202
425,281,281
426,1334,1334
427,445,445
428,1370,1370
429,1538,1538
430,1342,1342
431,286,286
432,1699,1699
433,449,449
434,2006,2006
435,351,351
436,1598,1598
437,1554,1554
438,1137,1137
439,1586,1586
440,2265,2265
441,2036,2036
442,1855,1855
443,987,987
444,2030,2030
445,242,242
446,1576,1576
447,2108,2108
448,22,22
449,1887,1887
450,1761,1761
451,778,778
452,746,746
453,1518,1518
454,1135,1135
455,2060,2060
456,1283,1283
457,1422,1422
458,104,104
459,1440,1440
460,1528,1528
461,1813,1813
462,1186,1186
463,1899,1899
464,1777,1777
465,2279,2279
466,1209,1209
467,718,718
468,417,417
469,2102,2102
470,1741,1741
471,1289,1289
472,581,581
473,120,120
474,1369,1369
475,1685,1685
476,1083,1083
477,347,347
478,146,146
479,1359,1359
480,1869,1869
481,1827,1827
482,1191,1191
483,1897,1897
484,1825,1825
485,415,415
486,1386,1386
487,1766,1766
