,description,weight,sodium na,total C18:2,total energy,total starches,potassium k,zinc zn,triglycerides,total B-carotene,iodine i,total iron,total vitamin b6,cobalamin,total protein,total vitamin b1,total aqua,total pufa,total vitamin d,vitamin a,total sugars,total dietary folate,total fiber,total saccharide,L-ascorbic acid,total phosphorus p,total cholesteryl alcohol,vitamin g,alpha-linolenic acid,total vitamin e,total selenium se,total calcium,nicotinic acid
603,"Quinoa, cooked",100.0,154.10827597300852,,409.62868663446915,15.557277770166975,135.3380801786623,1.0864166866851517,5.423599122788633,15.515240423629567,19.006864649564193,0.8068780803510633,0.21326118016068785,0.29765498491544035,1.0190731217357536,0.23186753084058204,79.72966250367105,2.4149238812677067,0.7237104411618958,113.72012570770868,4.583785312371652,31.378498801508727,8.825760930789555,11.797463631570992,8.445040469473005,159.89113641821652,8.388362828136568,0.4849697791324312,,0.5620231751227626,9.53418217668355,57.97307571195332,6.063145219032184
2110,"Eggplant, fried with oil",100.0,164.15417896054203,7.051730735071464,1047.4508854129865,7.285065357407701,168.00350028552282,0.6470608488728852,25.43478546326469,62.77611063515971,21.491690245890506,1.481572438291412,1.6768489743210966,4.6470400680650465,6.7749829976296825,0.25753089141550056,70.66554525061036,9.19393441398024,0.3683431049321889,159.07485322461076,1.8000284748540314,3.4875548737023805,0.9065387008827857,5.220544400800844,3.7622373134320704,0.7835791932556724,50.471935713140994,0.2406399373137559,2.9578986853338067,9.646182136010646,1.613112858388048,7.604538430049345,1.6243119112742004
648,"Butter, unsalted",100.0,241.5675361913635,0.8121040711798497,3086.887879856658,6.200325147194547,0.051563432344277516,0.2849187182963137,89.17889852783905,467.0421487797542,14.155699782793288,2.4011546459814834,0.45247139017627647,1.2334979721219148,6.597866520258225,0.9949046347837045,19.122225065968333,1.412371810270485,6.310638156651299,752.450351918822,5.43514275656349,15.545324566792768,0.5717881618020159,3.313751965683389,2.8573411648816527,50.79365294745486,260.6846708097903,1.06344614380363,0.6548815093880941,2.1731196995557647,11.134109842456631,53.763856020715295,4.143897741734158
1727,"Dressing, vinaigrette",100.0,748.1393714789101,,2124.7579543242496,1.1574184344308853,99.03629106133751,1.1552439808923114,52.010358992476554,180.0798135670572,20.753927171712313,1.2358989821971376,1.6847974301927995,3.3781462416728676,5.267974296713663,0.9264293417014299,47.753495966440695,24.927431281386482,4.887385290206515,36.855239721853486,6.80557586495625,3.2970694420580786,1.5115200850381014,7.5455888452417845,2.104421628433973,12.174077821458795,68.6977632612849,1.2808013317711866,,12.74826532726835,7.451182070266196,1.084489334217519,2.866291918151065
2083,"Celery, American Green, stalk, raw",100.0,323.60275110364876,1.1634111333726591,63.77083971705329,2.835155593822325,221.74717184050348,1.4240888376523977,3.4481483208295645,154.43932757566492,19.637238794156808,0.8369081898795819,1.9434259999371588,3.7169594135607107,2.4942519743459552,0.1052297153424247,94.37374747187314,1.8981996507633094,0.7443603032527205,43.87111770211803,6.74906177568206,4.579285778308921,6.906004762689079,3.175380131531796,3.6435908318911334,23.930555341262625,16.98343968339719,0.928897707761644,0.7054056152452239,1.108736428614423,8.84263018153039,6.062162919830946,3.0132225103285375
942,"Pie, savoury, chicken, individual size, ready to eat",100.0,419.411174778235,1.1192410391576588,1052.0667404880655,25.465615974269816,113.2287340793827,1.1084327671130227,10.26570282072586,134.61650579376942,51.60644573374829,2.0527940164364136,0.4056479084495611,2.024506383814633,10.05836087930106,0.4414919459312598,34.70994236388512,0.3307873641588578,0.2598649564070228,48.079535113667134,17.045506694091586,35.082788746083445,1.2627497627991358,24.98016825986948,0.15237667901785165,114.49992482999077,41.24090494254399,0.3014130252612877,1.6637179952096148,0.3540631587432031,13.887274193922599,4.44329001366496,5.939542828549512
1011,"Margarine, catering, Choice",100.0,767.4134963293561,12.697755275738274,2447.8308972167124,0.8054684600338993,10.084610086090436,3.264638799090339,65.84038960623387,17.16978458198242,1.8979258449150562,5.203822669412996,0.9620106433450353,0.5410805953262097,4.862652110392866,0.6602775251785011,29.0530047583773,13.952476514141948,2.249919811479386,244.08335669206232,11.14554837882747,34.81782395299512,2.0527342782362754,4.239033981266869,1.180831710996937,6.571991817174772,6.641450878748866,0.284530366920044,2.1725698296303877,6.532505940110553,5.651533406879217,25.458995490093727,0.47430704373430954
2124,"Kale, fresh, sauteed with oil, no salt added",100.0,66.60091526646175,0.6755906241335936,389.24086456854917,0.13727464746779583,732.7951681527935,1.855461756746385,23.33074911786425,6763.047411598993,53.43103601658415,4.233191601066371,0.04467969595327259,2.8583688762000055,9.06987543068232,1.4720159115025286,65.41225858297948,9.193258184334978,0.13980921312132616,1124.311394523701,8.04061039686807,355.500989565628,18.149139224487307,5.3150055568633245,72.5450291226213,111.5497854013035,8.440726356101537,1.5849952708927963,1.295401767448513,3.2960991326078224,6.160447556196857,465.2648876262211,2.1883448694056558
1298,"Rhubarb, stewed with sugar",100.0,201.33436088676137,0.18244995371247505,173.7213321972521,15.704062185684872,435.76413687576127,1.35934390547622,2.0663408575770004,39.455435806704045,141.9840579180749,3.7403315060047273,0.5617092513897535,4.402471799715217,3.759059571326458,0.7528553905276256,78.65847191438934,0.7048707508591923,1.4457646611159327,39.90153268773384,1.6740535088498003,35.94939781531283,2.2495064306453414,11.51022542497961,8.910849804595912,45.03750421444255,21.43567136121621,0.6548694496414377,0.6145923952722457,0.015195162168712778,4.235387290014955,57.28992726826817,2.008233135943299
1328,"Beef, forequarter brisket point end, separable lean, braised",100.0,28.100776739402754,0.9926683028788947,818.7430771637497,4.242325114782814,165.1032324762112,2.0358919264435973,2.6131289753161884,8.910200866524189,2.9508334273930923,2.3185726719654736,0.08977044864876071,2.7576382299893734,37.07112149775381,0.3229984604577746,54.37010173301737,7.985742652475505,0.5460331293220273,22.22884439929198,7.831922268834512,22.9154146554075,3.78195900415278,10.141490074951381,6.946593348424754,206.58343918733357,134.4968827054081,0.9468694725892238,0.20218148380299036,1.9677940397797835,25.212306723914466,17.037370420721693,9.683068249539598
645,"Butter, semisoft",100.0,695.7445743164402,0.4190853186607024,3100.305480649532,2.7796810390375604,82.46956897937115,0.21291378594900998,89.751024668798,561.6311231925747,7.217441022002355,0.7090265863625065,3.364497384812773,3.4978627090644325,6.240676598942533,0.5090823696755208,20.32546527212496,3.472160601128266,3.8471964291028073,954.241994712092,1.1221908117866646,30.913141844252674,1.8528608102016368,10.546260668924193,8.340040712420986,54.323996560948515,168.48912383794698,0.4338384753324868,1.3189445166093354,1.02918336235264,7.365236014815968,43.96176608935632,3.4623431607313377
1873,"Soup, cream of chicken, canned",100.0,328.06643704101793,,153.91121365059914,19.71281589299802,107.10156276514785,1.2007806909568004,0.26513355141841455,184.7795854684495,49.08721043428075,2.5195091206962283,0.4852577566736618,5.035920230459871,4.205711621892119,1.3886668213567457,89.35517625019489,2.7774957280451598,3.366530961761978,99.99644691585037,8.88928426046425,13.815630682799151,7.401231546391948,8.332306078755133,1.6168704944931438,16.332916731976272,18.884809411642188,0.39430329024207866,,0.9761283906435514,7.372184525687445,49.514376580674195,1.9656354233409266
922,"Fried rice, combination, Chinese, takeaway",100.0,371.7304528013468,2.1996612061288237,498.75376683472336,7.552706778529504,10.446338279490874,0.32440805977790466,8.488477588307727,144.2702815539614,4.272994775065744,1.6363565685553807,3.6736096618778067,0.608239952021426,2.2864762774273366,1.5258812834882645,66.43299884126151,0.8618136872163054,4.615620713436346,119.59938908026878,0.7917298723580625,5.527292854271666,1.7855297369348764,31.111066886624595,0.26848583106081386,76.62928817902159,9.210604354985541,0.2966874310926148,,0.7683820596250859,33.36379639934258,3.918052318533393,2.7905606430311476
2088,"Chickpea, canned in brine, drained",100.0,244.0916164663712,4.423781276061376,539.4970394757455,16.864236468590263,142.67195869881863,0.31205843497132624,11.859714367915048,82.02353603385995,3.476841332291161,0.9331129092107822,0.32995963057920896,1.4069255261250737,8.131457573593362,1.1831650206630278,72.15951898508277,1.801060826616901,0.9286113639866482,106.2170394858489,3.1548809830637197,32.19869101210607,4.97124280933698,4.854634610691677,2.139882623650953,55.90253951935864,21.426322097211745,0.2822397178904289,1.0024279168742876,2.978791839055576,0.43330456444944865,52.31663604469972,2.567050719285074
1294,"Raspberry, Meeker, frozen",100.0,453.101243213573,1.6596783945602274,180.92784862740297,1.1719578475086825,205.77085168604287,0.21208391926570636,4.688609773297587,96.47936450550142,26.910173692110185,0.6907400500502716,0.5439352650032596,2.942770932660533,2.3325867504094853,0.2909717217237038,72.8539209684319,0.21392261550570008,1.822090220723946,151.35859450714656,20.857820933901735,35.94486743935287,4.659214778028556,0.899896300636188,7.126091800794262,41.290305155011225,5.33904069017107,0.3019793393401233,0.22023872899594715,4.260841512497586,11.904418028992065,35.264700933000476,0.7225055281179191
1957,"Marshmallow, pink & white",100.0,6.1892053304237145,,1400.8282547668075,14.017163492826686,35.745686888248386,2.0965409652194253,8.321471988440823,45.90739404129752,65.08894333296288,2.985459651562809,0.10334139178807816,3.1838985166727256,1.7217768087567118,0.13759263962883006,10.80225954966987,3.1583958448685583,2.516832549130365,18.930166550178715,75.80508833921667,1.8552952959447944,4.38216988538968,78.29703876409111,2.1002622156506634,10.85826845374163,35.55433126502411,1.044604851749663,,2.5894230216539635,2.6829524687045945,35.573443469805625,3.0559653505109883
399,"Smoothie, Feijoa Smoothie, Simply Squeezed, fortified",100.0,132.45686590134832,1.3375705153300774,4.098757206423386,0.2090792679767534,0.21176529772504438,0.3933780655838997,0.9260566812133891,63.30472446562685,21.85599982834224,2.8809055103623398,0.4931393328601821,1.1054506984573034,1.0674001838073717,0.11857541437249869,89.4800702266266,6.0590098265922565,0.850164133353031,296.39802058656437,9.005738556033387,51.424211153759835,4.710051002110485,7.366253835816984,43.16972222881007,2.3815641114837707,62.22573357056042,0.37317054977155895,1.9495911467197689,0.43679143332798986,5.6403575701125765,15.841992732355777,0.6813848702212031
1013,"Margarine, light, Logical",100.0,604.30373061514,4.395019109325324,2145.0777324109577,0.35202715203949353,4.152552064024416,0.6554110019280979,59.29180016954068,416.4194475395114,71.78174480395181,0.12009911782089597,1.8045974119290586,6.1475798875056595,2.9230595981702194,1.2851225073869703,35.89408866751353,12.643842803547235,12.885977985008187,74.91924998539626,4.883091703501549,57.284814269514705,3.608121821956878,12.820370403374515,6.80246952138428,35.528093020970125,19.168772211588696,0.9468873864058021,4.777879803962713,8.173380734324486,14.280833505897006,7.271180193225935,2.461804852818962
1320,"Beef, canned, Lite Corned Beef, Salisbury",100.0,441.4759151698617,0.9789038516273258,882.1947192953781,5.344643751136893,253.48948428545927,3.8970586276283505,8.85680021173725,39.51885501441647,29.772426185504777,1.3498931531585436,1.2208515662649408,9.443572042573312,24.54401613907006,0.5048939227488171,75.87618206989035,5.753700840586172,3.417963642879939,19.698304115272183,4.4825023034478955,40.55014768828213,2.844674945932748,2.549205900204019,12.703875885795558,118.79783963360954,46.67152307872731,0.05625863429139475,0.10170781183908957,0.5456267272408418,1.3255722285821063,56.80311447431862,10.544703664329223
785,"Yoghurt smoothie, assorted fruits, sweetened",100.0,172.97155603063794,1.540502362582808,117.39755200313036,0.11668076465661018,273.07294498057684,0.5985481175934775,10.390548252376831,15.921374565358565,5.052151485534328,2.246809671366249,0.43882523546745905,1.9333618668366823,0.7053155932341357,0.6669816830004605,90.74288227934946,3.0829354061529646,2.0307416308862707,52.866190337001676,1.7902571558397629,33.97977456420667,1.3990019336231891,18.95978270161145,0.15180610902686986,149.68862136449593,33.59420553086462,0.1407524043847428,0.036392807428436015,4.72218583301434,12.496929997437269,162.20037145594682,3.0916541057812332
1354,"Beef, hindquarter sirloin, separable lean & fat, fast-fried",100.0,168.6157317416866,3.2646469798645676,1266.819989050453,6.134812981971235,407.88187057694716,1.1609452403565026,26.05745285294341,27.43793980822106,39.51335471421443,3.112656567869331,1.7931376995078405,3.9866122273757316,23.794006139630103,0.5940878690977142,49.19015886519048,2.81095304429169,2.6762623525992435,21.068040324303993,11.813047941804003,6.245460039830955,4.973558157623518,8.272398688968451,8.673717567432867,153.6739013112464,54.86660612459206,0.6193954059544006,1.077893820644114,2.8337745830409156,7.787208573343071,21.844699957652736,9.768604497812559
65,"Bread, Gluten Free Ancient Grain & Seeds, Burgen",100.0,645.3600949636977,3.702042906539063,1010.6763812736225,18.53475888314121,216.51463378960497,2.7183281437134417,12.306854308533827,17.20149545319649,31.42314212773511,3.5748766189795216,0.316630540700317,2.6824820850918183,4.677599890668842,0.8062857813270061,32.110697195252094,3.794357850551406,2.0980876516685014,26.40748652908757,9.191869606548343,8.25579479999526,9.3240291736204,37.60483282617993,9.885781076064884,174.69858815591252,11.798432389823418,0.39922440422309113,2.028152139814451,2.0068571839316585,13.131264718151362,126.54315330094437,2.7344554206926075
993,"Spring roll, vegetarian, baked, Highmark",100.0,631.6365471934428,1.725545088159224,758.6944008592529,18.335762551766944,88.10973383457916,0.33924881753049624,11.178403892617863,50.04531378671486,43.95745131940631,2.444825001964925,0.6659320631869975,5.413671458568663,4.871987269953905,1.19580591000789,50.667757666575305,4.062747648165992,0.8783710125070086,41.10632738942014,6.008347226410026,48.00759795491643,3.856169872567045,9.675478808696306,11.589069082761148,53.19035312738849,9.078694397860026,0.08696237122285824,,0.4395394671446524,6.57753428429419,17.539374170778316,1.7277505574720764
1470,"Pork, leg steak, lean & fat, grilled",100.0,1.3560472134143424,,582.1152794086674,4.105986645599798,570.7585504249237,1.6672462696175092,15.734884523878174,7.487285093031146,25.178327450697623,2.544973566883428,1.4135412224507704,1.5270080487345434,29.68813545298262,0.7703084869469441,60.24654679109409,3.6768913435082275,1.430992780859186,71.67200998154662,3.8408977413097363,2.130193283183769,3.9669346573138795,7.127468200490463,25.73150112802387,394.01400950178606,94.18168073602669,1.7979881891333214,,1.6923264337069328,39.710404480223715,23.391468811828034,5.522006737684218
