,original,generated
0,1526,1526
1,275,275
2,447,447
3,292,292
4,633,633
5,2050,2050
6,1386,1386
7,2172,2172
8,477,477
9,1711,1711
10,363,363
11,1841,1841
12,906,906
13,807,807
14,1495,1495
15,839,839
16,727,727
17,87,87
18,892,892
19,1375,1375
20,124,124
21,1073,1073
22,227,227
23,950,950
24,1035,1035
25,437,437
26,179,179
27,522,522
28,122,122
29,1215,1215
30,85,85
31,2090,2090
32,1394,1394
33,2236,2236
34,770,770
35,1153,1153
36,704,704
37,962,962
38,1367,1367
39,1755,1755
40,345,345
41,1061,1061
42,1307,1307
43,870,870
44,1865,1865
45,2143,2143
46,2006,2006
47,642,642
48,1786,1786
49,99,99
50,1835,1835
51,305,305
52,744,744
53,987,987
54,1953,1953
55,429,429
56,61,61
57,1470,1470
58,1618,1618
59,1419,1419
60,1530,1530
61,621,621
62,898,898
63,457,457
64,83,83
65,785,785
66,1063,1063
67,1039,1039
68,783,783
69,311,311
70,995,995
71,2133,2133
72,1505,1505
73,1701,1701
74,187,187
75,854,854
76,2127,2127
77,2247,2247
78,148,148
79,708,708
80,104,104
81,1143,1143
82,1845,1845
83,1334,1334
84,1501,1501
85,67,67
86,1436,1436
87,1497,1497
88,1338,1338
89,758,758
90,1863,1863
91,1797,1797
92,1113,1113
93,778,778
94,1596,1596
95,1902,1902
96,1302,1302
97,371,371
98,2255,2255
99,323,323
100,156,156
101,222,222
102,403,403
103,2159,2159
104,205,205
105,1967,1967
106,1769,1769
107,2036,2036
108,676,676
109,1370,1370
110,975,975
111,1869,1869
112,1855,1855
113,427,427
114,1280,1280
115,1423,1423
116,2030,2030
117,936,936
118,1438,1438
119,445,445
120,31,31
121,772,772
122,359,359
123,1339,1339
124,377,377
125,1411,1411
126,1975,1975
127,789,789
128,1562,1562
129,1559,1559
130,2057,2057
131,153,153
132,2120,2120
133,2040,2040
134,1337,1337
135,1053,1053
136,1741,1741
137,499,499
138,852,852
139,1893,1893
140,2253,2253
141,375,375
142,1474,1474
143,1540,1540
144,1713,1713
145,163,163
146,1663,1663
147,791,791
148,1524,1524
149,1454,1454
150,1117,1117
151,1821,1821
152,510,510
153,1703,1703
154,439,439
155,1348,1348
156,389,389
157,20,20
